VENDOR,PRODUCT,AMOUNT,COST (CAD),SUBTOTAL,TOTAL + SHIPPING + TAX,LINKS
CanaKit,CanaKit Raspberry Pi 5 8GB Quick-Start AI Kit (Assembled),1,319.95,319.95,CanaKit,https://www.canakit.com/canakit-raspberry-pi-5-quick-start-ai-kit.html
Amazon,"AVOETY 256GB M.2 2280 PCIe Gen3x4 NVMe SSD, Read Speed up to 2000MB/s, SLC Cache 3D NAND TLC M.2 Solid State Drive, Compatible with Laptop, Desktop ＆ SSD Enclosure",1,56.99,56.99,393.18,www.amazon.ca/AVOETY-Gen3x4-Compatible-Desktop-Enclosure/dp/B0FFSX492V/ref=sr_1_11?crid=3Q02V9EBH3F1R&dib=eyJ2IjoiMSJ9.dfTDHXD6Ty93x75Gys7MkLgLjS100fqoUCqYq4i7nmfFuQi5cNs7wRAWPHr6EfyFhiXt2EOjsutVE1j1GA4y20WRSI3uPdHdKsHB2kH-BO1bWLMPNyg2mYQu2hTHwxwQkHgW9O1Y_1nWpOrexv1hXr6cmc_usniCcjYLhdrviikSIuy5CEnpQ4QjwJgopCM3xJFOTP-b43JUkPykTDv0liEkxaY7Fq-RfzGEF6ov0ivJIKKjkNdJw6zbPGYBiLLUzKq-tSI9ux27BogSlHARyZ-OpL-K77kaLb0Vr2EoEv8.NkQazwDzCDE8xPBYzf0jbbIgmdqHOLviwFf_i0_Jxlc&dib_tag=se&keywords=nvme+m.2+ssd&qid=1769028491&sprefix=NVMe%2Caps%2C122&sr=8-11
PiShop,NVMe Base Duo for Raspberry Pi 5,1,46.5,46.5,Pishop,https://www.pishop.ca/product/nvme-base-duo-for-raspberry-pi-5-nvme-base-duo/
AliExpress,OSOYOO 5 Inch IPS Capacitive Touch Screen RPi5 DSI LCD Display Monitor 800x480 Resolution for Raspberry Pi 5 4 2 3 3B+,1,36.97,36.97,71.52,https://www.aliexpress.com/item/1005005323508319.html?spm=a2g0o.productlist.main.7.57547fc4SEo8qx&algo_pvid=f34e3f35-dca5-4933-a50a-995373a923fa&algo_exp_id=f34e3f35-dca5-4933-a50a-995373a923fa-6&pdp_ext_f=%7B%22order%22%3A%2258%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21CAD%2146.55%2137.33%21%21%21231.37%21185.55%21%402101d6ff17674873682272215e89ce%2112000032634156240%21sea%21CA%213016306137%21ABX%211%210%21n_tag%3A-29910%3Bd%3A560aaf5%3Bm03_new_user%3A-29895%3BpisId%3A5000000197831932&curPageLogUid=3uaA4gJJNgVt&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005005323508319%7C_p_origin_prod%3A#nav-specification
,,,,,Aliexpress,
,,,,,42.5,(Roughly)
,CAD,572.17,,,Amazon,
,USD,413.7790398,,,64.97,
,AFTER GRANT USD,13.77903975,,,,
,AFTER GRANT CAD,19.05338059,,,,
,,,,,,
UNCONFIRMED ADDITIONS,,,,,,
,,,,,,
CONTROL PAD,,,,,,
,,,,,,
VENDOR,PRODUCT,AMOUNT,COST (CAD),SUBTOTAL,TOTAL + SHIPPING + TAX,LINKS
Mouser,Multiprotocol Development Tools Seeed Studio XIAO nRF52840 Sense (Pre-Soldered) ,1,26.33,26.33,Mouser,https://www.mouser.ca/ProductDetail/Seeed-Studio/102010632?qs=sqEgtWRSLJ0ucJLg%2F6rE9w%3D%3D
,,,,,52.82,
,,,,,,
,,,,,,
,,,,,,
EXTERNAL POWER BUTTON,,,,,,
VENDOR,PRODUCT,AMOUNT,COST (CAD),SUBTOTAL,TOTAL + SHIPPING + TAX,LINKS
Amazon,"MECCANIXITY Straight Pin Header DIP Single Row 2 Pin 2.54mm Pitch Gold Plated for PCB Pack of 100,Black ",1,10.19,10.19,Amazon,https://www.amazon.ca/MECCANIXITY-Straight-Header-Single-2-54mm/dp/B0FPDDZ4QS/ref=sr_1_34?crid=DG4TBF2SWUF0&dib=eyJ2IjoiMSJ9.F0_Lu4vJOHBZKuvz8l59r13Z1efmty0zCNB0zpTG_i3k9BjgB0SwUuREvwMrnajHHP9Fi4dbinIPcvUNQg1-nt2kLwdK3h0NyrKf9CRfnEtYSn5xSsoWwBhIXWhHlk2gbOxLtl5dgCbtS7qLMN0DJ5s0bHYj3t1xlT0dL02zqgEZ7fr3531PAl7o4F4rZXGrrt0yjsHhYBT0T2nDTJBDx0dPGw6uTqVIu-OnjuNjjsVVep1p-3To5N80MAbUfHsBUfP2lcjPhrgZpfGuypS-x0g_0zZp8txhh8E54ApNGLg.q_PPF6rLpSPvyHZzSIbIXeykQa4sKvqLOYOhLf9JS3I&dib_tag=se&keywords=Connector+Header+Through+Hole+2+position+0.100%22+%282.54mm%29&qid=1768082250&sprefix=connector+header+through+hole+2+position+0+100+2+54mm+%2Caps%2C83&sr=8-34
Amazon,"16mm Heavy Duty Momentary Metal Push Button Switch Waterproof Anti-Vandal Large Current 20Amp 12V 24V 110V ON-Off 1NO 2 Screw Terminals for 5/8"" Mounting Hole Without LED Black Shell",1,13.99,13.99,50.61,https://www.amazon.ca/DMWD-Momentary-Waterproof-Anti-Vandal-Terminals/dp/B0DF55LG78/ref=sr_1_8?crid=1GUWGLS07MMBV&dib=eyJ2IjoiMSJ9.4V5WJalfO3z1q_Uc_3X06EKUN25viXqO_WEFlKU3jZEJd4e077LZzGIeriIuXeaO42LOEv_csCDprcTq5qAfSKFeDDvbyf08YMcdYrj81PVelke3HNDOyqh9uV7gfyivpL3PS7Isrt_xtaf14Ux580SrneJwTDrxhypRhXsjBOPltMK-Mx8HB_WBvySUtPVf9uMO0u8ENMd3Kxlz10vahhHvuCXPMgsS0M5eVC-Dz-8u-0SgQwnfOF3rh7ORxv-Fi2SaE-Go0d6I0s9vL14nO_6WdxviMxp8tBerDNxO9l8.PEPAEdS5r-rsZXK4BR8sObM4-2I5C5ZAsBSxdmPFlmw&dib_tag=se&keywords=16mm%2Bmomentary%2Bbuttons&qid=1768153460&sprefix=16mm%2Bmomentary%2Bbuttons%2Caps%2C193&sr=8-8&th=1
Amazon,"Elegoo 120pcs Multicolored Dupont Wire 40pin Male to Female, 40pin Male to Male, 40pin Female to Female Breadboard Jumper Wires Ribbon Cables Kit for arduino",1,9.99,9.99,,https://www.amazon.ca/gp/product/B01EV70C78/ref=ox_sc_act_title_1?smid=A2WWHQ25ENKVJ1&psc=1
