VENDOR,PRODUCT,AMOUNT,COST (CAD),SUBTOTAL,TOTAL + SHIPPING + TAX,LINKS
CanaKit,CanaKit Raspberry Pi 5 8GB Quick-Start AI Kit (Assembled),1,319.95,319.95,CanaKit,https://www.canakit.com/canakit-raspberry-pi-5-quick-start-ai-kit.html
CanaKit,Raspberry Pi SSD - 256 GB,1,59.95,59.95,461.52,https://www.canakit.com/raspberry-pi-ssd.html?defpid=4984
PiShop,NVMe Base Duo for Raspberry Pi 5,1,46.5,46.5,PiShop,https://www.pishop.ca/product/nvme-base-duo-for-raspberry-pi-5-nvme-base-duo/
PiShop,"8inch Capacitive Touch Display, Wide Color Gamut, 1280×800, Optical Bonding Toughened Glass Panel, HDMI/Type-C Display Interface",1,123.68,123.68,222.58,https://www.pishop.ca/product/8inch-capacitive-touch-display-wide-color-gamut-1280-800-optical-bonding-toughened-glass-panel-hdmi-type-c-display-interface/
,,,,,,
,,,,,,
,,,,CAD,684.1,
,,,,USD,498.4181575,
,,,,AFTER GRANT USD,98.4181575,
,,,,AFTER GRANT CAD,135.0843342,
