VENDOR,PRODUCT,AMOUNT,COST (CAD),SUBTOTAL,TOTAL + SHIPPING + TAX,LINKS
CanaKit,CanaKit Raspberry Pi 5 8GB Quick-Start AI Kit (Assembled),1,319.95,319.95,CanaKit,https://www.canakit.com/canakit-raspberry-pi-5-quick-start-ai-kit.html
CanaKit,Raspberry Pi SSD - 256 GB,1,59.95,59.95,463.8,https://www.canakit.com/raspberry-pi-ssd.html?defpid=4984
PiShop,NVMe Base Duo for Raspberry Pi 5,1,46.5,46.5,Pishop,https://www.pishop.ca/product/nvme-base-duo-for-raspberry-pi-5-nvme-base-duo/
AliExpress,OSOYOO 5 Inch IPS Capacitive Touch Screen RPi5 DSI LCD Display Monitor 800x480 Resolution for Raspberry Pi 5 4 2 3 3B+,1,37.33,37.33,71.52,https://www.aliexpress.com/item/1005005323508319.html?spm=a2g0o.productlist.main.7.57547fc4SEo8qx&algo_pvid=f34e3f35-dca5-4933-a50a-995373a923fa&algo_exp_id=f34e3f35-dca5-4933-a50a-995373a923fa-6&pdp_ext_f=%7B%22order%22%3A%2258%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21CAD%2146.55%2137.33%21%21%21231.37%21185.55%21%402101d6ff17674873682272215e89ce%2112000032634156240%21sea%21CA%213016306137%21ABX%211%210%21n_tag%3A-29910%3Bd%3A560aaf5%3Bm03_new_user%3A-29895%3BpisId%3A5000000197831932&curPageLogUid=3uaA4gJJNgVt&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005005323508319%7C_p_origin_prod%3A#nav-specification
,,,,,Aliexpress,
,,,,,45,(Roughly)
,CAD,633.14,,,,
,USD,460.6251785,,,,
,AFTER GRANT USD,60.6251785,,,,
,AFTER GRANT CAD,83.33071496,,,,
,,,,,,
UNCONFIRMED ADDITIONS,,,,,,
,,,,,,
CONTROL PAD,,,,,,
,,,,,,
VENDOR,PRODUCT,AMOUNT,COST (CAD),SUBTOTAL,TOTAL + SHIPPING + TAX,LINKS
Mouser,Multiprotocol Development Tools Seeed Studio XIAO nRF52840 Sense (Pre-Soldered) ,1,26.33,26.33,Mouser,https://www.mouser.ca/ProductDetail/Seeed-Studio/102010632?qs=sqEgtWRSLJ0ucJLg%2F6rE9w%3D%3D
,,,,,52.82,
